目录,题型,题干,正确答案,答案解析,难易度,知识点,选项数,A,B,C,D,,
/第九章,判断题,从党的十一届三中全会起，政治体制改革开始推进，主要内容是使民主制度化、法律化。,A,,易,,2,正确,错误,,,,
/第九章,单选题,1982年9月1日至11日，（）在北京举行。邓小平在开幕词中响亮提出：“把马克思主义的普遍真理同我国的具体实际结合起来，走自己的道路，建设有中国特色的社会主义”。,B,,易,,4,党的十一大,党的十二大,党的十三大,党的十四大,,
/第九章,判断题,“建设有中国特色的社会主义”的重大崭新命题，回答了进入改革开放新时期后走什么样的道路这一全党和全国人民最为关心的重大问题，成为指引改革开放和社会主义现代化建设的伟大旗帜。,A,,易,,2,正确,错误,,,,
/第九章,单选题,党的十二大提出了从1981年到20世纪末我国经济建设总的奋斗目标：在不断提高经济效益的前提下，国内工农业年总产值（），人民生活达到小康水平。,B,,易,,4,在20世纪末与日本持平,在20世纪末翻两番,在20世纪末翻三番,在20世纪末突破100万亿美元,,
/第九章,判断题,把20世纪末的奋斗目标由先前的实现四个现代化改为实现小康，从战略指导上解决了长期存在的急于求成问题。,A,,易,,2,正确,错误,,,,
/第九章,单选题,（）于1982年11月至12月召开的五届全国人大五次会议通过，充分体现了十一届三中全会以来党和国家在现代化建设和民主法制建设方面的新思想、新举措和新要求。,B,,难,,4,《中国共产党章程》,《中华人民共和国宪法》,《关于社会主义精神文明建设指导方针的决议》,《中华人民共和国中外合资经营企业法》,,
/第九章,单选题,以下关于1982年宪法的说法，不正确的是（）。,C,,易,,4,以1954年宪法为基础,纠正了1975年和1978年通过的宪法中存在的问题,肯定了农村人民公社政社合一的体制,体现了党和国家在现代化建设和民主法制建设方面的新思想、新举措和新要求,,
/第九章,判断题,党的十一届三中全会以后，经济体制改革迅速全面展开。,B,,中,,2,正确,错误,,,,
/第九章,判断题,到1984年底，全国基本完成政社分开，这标志着实行了20多年的人民公社制度不复存在。,A,,易,,2,正确,错误,,,,
/第九章,判断题,经济体制改革全面展开后，由于农村经济的发展，大批富余劳动力逐渐开始从事工业和加工业，乡镇企业异军突起。,A,,易,,2,正确,错误,,,,
/第九章,单选题,1984年10月，党的十二届三中全会通过（），突破了把计划经济同商品经济对立起来的观点，指出我国社会主义经济是在公有制基础上的有计划的商品经济。,A,,难,,4,《中共中央关于经济体制改革的决定》,《中共中央关于制定国民经济和社会发展第七个五年计划的建议》,《关于建国以来党的若干历史问题的决议》,《关于广开门路，搞活经济，解决城镇就业问题的若干决定》,,
/第九章,单选题,1986年11月，我国决定实施发展高科技的（）。,A,,易,,4,“863”计划,科教兴国战略,西部大开发战略,“985工程”,,
/第九章,判断题,“六五”计划的一个鲜明特点，是在重视经济发展的同时，把社会发展摆到突出位置。,A,,易,,2,正确,错误,,,,
/第九章,单选题,1980年2月，党的十一届五中全会通过（），把党章的有关规定和民主集中制的原则具体化。,A,,难,,4,《关于党内政治生活的若干准则》,《关于严禁党政机关和党政干部经商、办企业的决定》,《关于建立老干部退休制度的决定》,《关于加强社会主义精神文明建设若干重要问题的决议》,,
/第九章,判断题,《关于社会主义精神文明建设指导方针的决议》是中国共产党的第一个关于精神文明建设的纲领性文件。,A,,易,,2,正确,错误,,,,
/第九章,单选题,（）对改革开放和现代化建设实践中形成发展起来的一系列科学理论观点作了归纳，使建设有中国特色的社会主义理论有了更清晰的轮廓。,B,,中,,4,党的十二大,党的十三大,党的十四大,党的十五大,,
/第九章,单选题,党在社会主义初级阶段的基本路线是：领导和团结全国各族人民，以（）为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把我国建设成为富强、民主、文明的社会主义现代化国家而奋斗。,B,,易,,4,政治改革,经济建设,丰富文化,发展军事,,
/第九章,单选题,1979年12月，邓小平在会见日本首相大平正芳时指出：我们要实现的四个现代化，是中国式的四个现代化。我们的四个现代化的概念，不是像你们那样的现代化的概念，而是（）。,A,,易,,4,“小康之家”,“天下大同”,“天下为公”,“中庸之道”,,
/第九章,单选题,1987年4月，邓小平在会见西班牙外宾时明确提出（）现代化战略设想。,B,,易,,4,“两步走”,“三步走”,新时代“两步走”,“两个一百年”,,
/第九章,判断题,私营经济的法律地位得到确认，是在1988年4月召开的七届全国人大一次会议上。,A,,易,,2,正确,错误,,,,
/第九章,单选题,1988年4月，七届全国人大一次会议正式批准（）。,D,,易,,4,建立深圳特区,建立珠海特区,建立上海自由贸易港,设立海南省和建立海南经济特区,,
/第九章,单选题,党的十一届三中全会后，根据对国际国内形势变化的判断，军事战略方针由“积极防御、诱敌深入”改为（）。,B,,中,,4,“主动出击”,“积极防御”,“早打、大打”,“避敌主力、打其虚弱”,,
/第九章,单选题,1981年9月，全国人大常委会委员长（）发表谈话，就台湾回归祖国、实现和平统一问题提出九条方针。,B,,易,,4,邓小平,叶剑英,陈云,李先念,,
/第九章,判断题,“一国两制”科学构想的提出，开辟了以和平方式实现祖国统一的新途径。,A,,易,,2,正确,错误,,,,
/第九章,单选题,1982年9月，英国首相（）访问中国，中英两国开始就香港问题进行谈判。,A,,易,,4,玛格丽特·希尔达·撒切尔,温斯顿·丘吉尔,戈登·布朗,特雷莎·梅,,
/第九章,单选题,1984年12月，中英两国政府正式签署关于香港问题的联合声明，确认（）的事宜。,A,,易,,4,中国政府于1997年7月1日对香港恢复行使主权,《中华人民共和国香港特别行政区基本法》通过,中国政府将于1999年12月20日对澳门恢复行使主权,《中华人民共和国澳门特别行政区基本法》通过,,
/第九章,判断题,“一国两制”构想既体现了实现祖国统一、维护国家主权的原则性，又充分考虑了香港、澳门等地的历史和现实。,A,,易,,2,正确,错误,,,,
/第九章,单选题,党的十一届三中全会后，随着国际形势的发展变化，中共中央对外交政策进行的重大调整不包括（）。,C,,易,,4,改变战争不可避免而且迫在眉睫的观点,对战争与和平问题作出新的科学判断,实施“一边倒”政策,改变过去联美抗苏的“一条线”战略,,
/第九章,判断题,党的十三届四中全会不仅对于进一步稳定全国局势具有重大作用，而且对于保证十一届三中全会以来的路线方针政策的延续产生了深远的影响。,A,,易,,2,正确,错误,,,,
/第九章,判断题,计划多一点还是市场多点，不是社会主义与资本主义的本质区别。,A,,易,,2,正确,错误,,,,
/第九章,单选题,1990年4月，党中央、国务院批准开发开放（）。这不仅促进了本地的迅速发展，而且对长江三角洲、整个长江流城乃至全国的改革开放和经济发展产生了强大的辐射和带动作用。,A,,易,,4,浦东新区,深圳特区,海南经济特区,上海自由贸易港,,
/第九章,单选题,（）证券交易所是改革开放以来在大陆开业的第一家证券交易所。,A,,易,,4,上海,深圳,北京,广州,,
/第九章,判断题,郑州粮食批发市场开业并引入期货交易机制，是中国期货交易的开端。,A,,易,,2,正确,错误,,,,
/第九章,判断题,改革开放和现代化建设事业进入从计划经济体制向社会主义市场经济体制转变的新阶段的标志是邓小平南方谈话和党的十四大。,A,,易,,2,正确,错误,,,,
/第九章,单选题,（）是建立社会主义市场经济体制的中心环节，也是难点所在。,C,,易,,4,医疗体制改革,文化教育体制改革,国有企业改革,军队体制改革,,
/第九章,单选题,20世纪90年代，党中央坚持“两手抓，两手都要硬”的方针，指出在进行经济建设的同时，也要重视（）。,C,,易,,4,生态文明建设,社会保障,精神文明建设,协调发展,,
/第九章,单选题,自1993年至1997年，全国人大及其常委会制定和出台了近百部法律及有关法律的决定，其中多数是（）方面的立法，为其正常运行提供了重要的法律保障。,B,,易,,4,社会主义文化建设,社会主义市场经济,社会主义民主政治,社会主义环境治理,,
/第九章,单选题,（）首次使用“邓小平理论”这个概念，把这一理论同马克思列宁主义、毛泽东思想一道确立为中国共产党的指导思想，并写入修改后的《中国共产党章程》。,D,,易,,4,党的十二大,党的十三大,党的十四大,党的十五大,,
/第九章,单选题,1997年2月19日，中国社会主义改革开放和现代化建设的总设计师（）逝世。,D,,易,,4,毛泽东,周恩来,刘少奇,邓小平,,
/第九章,单选题,（）围绕“什么是社会主义、怎样建设社会主义”这个根本问题，第一次比较系统地回答了建设有中国特色社会主义的一系列基本问题。,B,,易,,4,毛泽东思想,邓小平理论,“三个代表”重要思想,科学发展观,,
/第九章,单选题,“公有制为主体、多种所有制经济共同发展，是我国社会主义初级阶段的一项基本经济制度。”这是在（）上明确指出的。,c,,难,,4,党的十三大,党的十四大,党的十五大,党的十六大,,
/第九章,判断题,依法治国是社会文明进步的重要标志，是国家长治久安的重要保障。,A,,易,,2,正确,错误,,,,
/第九章,单选题,1998年10月召开的党的十五届三中全会，通过了（），进一步推动解决农业、农村、农民“三农”问题。,C,,难,,4,《关于党内政治生活的若干准则》,《中共中央关于加强党的建设几个重大问题的决定》,《中共中央关于农业和农村工作若干重大问题的决定》,《关于经济体制改革的决定》,,
/第九章,判断题,自20世纪80年代起，党和政府就开始在全国范围内开展大规模扶贫工作。,A,,易,,2,正确,错误,,,,
/第九章,单选题,党的十五大后，我国明确了以上海（）为龙头带动长江流城经济起飞的发展战略，确定要在21世纪初将上海建成国际经济、金融、贸易中心。,A,,易,,4,浦东新区,滨海新区,两江新区,天府新区,,
/第九章,单选题,2001年12月11日，中国正式加入（），正式成为其第143名成员。,B,,易,,4,联合国,世界贸易组织,亚洲太平洋经济合作组织,世界卫生组织,,
/第九章,判断题,中国加入世界贸易组织是中国经济发展和改革开放的需要，同样，世界贸易组织也需要中国。,A,,易,,2,正确,错误,,,,
/第九章,单选题,1995年5月，党中央准确分析科技发展趋势和国内外形势，作出关于加速科学技术进步的决定，确定实施（），开始全面落实科学技术是第一生产力的思想。,B,,易,,4,西部大开发战略,科教兴国战略,可持续发展战略,环境保护战略,,
/第九章,单选题,贯彻落实西部大开发战略，扩大西部地区公共投资规模，一大批重点工程相继开工，其中不包括（）。,D,,易,,4,青藏铁路,西气东输,西电东送,长株潭城际铁路,,
/第九章,判断题,党的十五大后，我国的对外开放从过去侧重引进为主，发展为“引进来”和“走出去”相结合。,A,,易,,2,正确,错误,,,,
/第九章,判断题,“走出去”是指鼓励我国有实力有优势的企业到西欧、北欧和北美等资本主义发达国家和地区投资办厂，积极参与国际合作。,B,,中,,2,正确,错误,,,,
/第九章,单选题,以（）为标志，我国实现了社会主义现代化建设第二步战略目标，人民生活总体上达到小康水平。,A,,难,,4,“九五”计划胜利完成,中国加入世界贸易组织,党的十五大召开,成功抵御亚洲金融危机,,
/第九章,单选题,20世纪90年代，我国在发展睦邻合作友好关系上取得的重要进展不包括（）。,B,,易,,4,倡导并推动建立“中国—东盟自由贸易区”,加入世界贸易组织,《中非合作论坛北京宣言》《中非经济和社会发展合作纲领》的通过,建立“上海合作组织”,,
/第九章,单选题,20世纪90年代，中国以更加开放的姿态积极参加多边外交各个领域的活动，不包括（）。,C,,难,,4,倡议并出席联合国五个安理会常任理事国首脑首次会晤,成立博鳌亚洲论坛,发起创办亚洲基础设施投资银行,举办亚太经合组织第九次领导人非正式会议,,
/第九章,单选题,中英两国政府于（）举行了香港政权交接仪式，宣告中国政府对香港恢复行使主权。中华人民共和国香港特别行政区正式成立。,C,,易,,4,1984年12月19日午夜至12月20日凌晨,1987年4月13日午夜至4月14日凌晨,1997年6月30日午夜至7月1日凌晨,1999年12月19日午夜至12月20日凌晨,,
/第九章,单选题,澳门于（）回归祖国，中华人民共和国澳门特别行政区正式成立。,D,,易,,4,1984年12月19日,1997年7月1日,1987年4月13日,1999年12月20日,,
/第九章,单选题,1995年1月30日，江泽民发表《为促进祖国统一大业的完成而继续奋斗》的讲话，强调（）是实现和平统一的基础和前提。,A,,易,,4,坚持一个中国原则,共同发展经济,两岸交流不间断,两岸“三通”,,
/第九章,单选题,为了显示了中国政府和中国人民维护国家主权和领土完整的坚强决心，1995年下半年到1996年上半年人民解放军在（）进行了一系列大规模军事演习。,D,,易,,4,南中国海,北部湾,黄海海域,台湾海峡和台湾附近海域,,
/第九章,单选题,以江泽民同志为主要代表的中国共产党人创造性回答了（）的问题，形成了“三个代表”重要思想。,A,,易,,4,建设什么样的党、怎样建设党,实现什么样的发展、怎样发展,坚持和发展什么样的中国特色社会主义,怎样坚持和发展中国特色社会主义,,
/第九章,单选题,（）11月8日至14日，中国共产党第十六次全国代表大会在北京举行。江泽民作《全面建设小康社会，开创中国特色社会主义事业新局面》的报告。,B,,易,,4,1997年,2002年,2006年,2008年,,
/第九章,单选题,（）高度评价“三个代表”重要思想的历史地位和重要作用，把“三个代表”重要思想同马克思列宁主义、毛泽东思想、邓小平理论一道确立为中国共产党必须长期坚持的指导思想，并写入党章。,A,,易,,4,党的十六大,党的十六届一中全会,党的十七大,庆祝中国共产党成立80周年大会,,
/第九章,单选题,2003年春，我国遭遇一场过去从未出现过的（）重大疫情。在党中央、国务院坚强领导下，举国上下紧急动员，坚持群防群控，携手共克时艰，有效控制了疫情，保持了经济较快增长。,A,,易,,4,非典型肺炎,新冠肺炎,禽流感,中东呼吸综合征,,
/第九章,单选题,非典的发生和蔓延，暴露出我国在经历了一个经济高速发展阶段之后，存在发展不够协调、公共卫生事业发展滞后、突发事件应急机制不健全等新矛盾新问题，引发了党中央对新形势下（）的深入思考。,B,,易,,4,建设什么样的党、怎样建设党,实现什么样的发展、怎样发展,坚持和发展什么样的中国特色社会主义,怎样坚持和发展中国特色社会主义,,
/第九章,判断题,科学发展观提出以后，经历了一个实践、认识、再实践、再认识的过程，理论内涵不断丰富，实践成效不断显现。,A,,易,,2,正确,错误,,,,
/第九章,单选题,2006年10月召开的党的十六届六中全会提出了“（）”新的发展方针，强调既要保持经济平稳较快增长，又要努力提高质量和效益。,A,,易,,4,促进经济又好又快发展,新发展理念,急速发展、紧盯增速,多快好省、力争上游,,
/第九章,单选题,《中共中央关于构建社会主义和谐社会若干重大问题的决定》强调，必须坚持（），始终把最广大人民的根本利益作为党和国家一切工作的出发点和落脚点。,B,,易,,4,只看经济发展速度,以人为本,主观主义,高度集中,,
/第九章,单选题,2006年1月1日起，在我国存在2600年的（）成为历史，这根本性地扭转了农民负担过重的状况，给亿万农民带来了看得见、摸得着的实惠。,D,,易,,4,个人所得税,耕地占用税,消费税,农业税,,
/第九章,单选题,2006年，我国将延续50多年的国民经济和社会发展计划中“计划”一词改为（），这一字之差反映我国发展理念、经济体制、政府职能的重大变革。,B,,易,,4,“谋划”,“规划”,“策划”,“计议”,,
/第九章,判断题,改革开放以来我们取得一切成绩和进步的根本原因，归结起来就是开辟了中国特色社会主义道路，形成了中国特色社会主义理论体系。,A,,易,,2,正确,错误,,,,
/第九章,单选题,2008年5月12日，（）发生里氏8.0级特大地震，我国迅速开展了历史上救援速度最快、动员范围最广、投入力量最大的抗震救灾斗争。,A,,易,,4,四川汶川,四川雅安,青海玉树,西藏昌都,,
/第九章,单选题,为了更好地解决经济长期积累的结构性矛盾和经济增长方式粗放问题，党的十七大提出（）的战略任务。,C,,易,,4,发展粗放型经济,减少社会服务,加快转变经济发展方式,集中全部力量建设东部沿海地区,,
/第九章,单选题,党的十七届三中全会强调，农业是安天下、稳民心的战略产业，要求坚决守住（）耕地红线，促进城乡经济社会发展一体化。,D,,易,,4,1亿亩,8亿亩,10亿亩,18亿亩,,
/第九章,单选题,“十一五”时期，国家面貌发生新的历史性变化。2010年中国经济总量超过日本，成为世界第（）大经济体。,B,,易,,4,一,二,三,四,,
/第九章,单选题,党的十六大到十八大期间，我国在重要学科前沿和战略必争领域取得的重大自主创新成果不包括（）。,C,,易,,4,“神舟五号”飞船首次实现载人航天飞行,“神舟七号”飞船航天员成功进行中国人的第一次太空漫步,发射“祝融号”火星探测器，探索未知宇宙,“嫦娥一号”首次完成绕月探测,,
/第九章,单选题,（）8月至9月，北京成功举办第二十九届夏季奥运会、第十三届残疾人奥运会，实现了中华民族的百年期盼，兑现了对国际社会的郑重承诺，进一步增进了同世界各国人民的相互了解和友谊。,B,,易,,4,2001年,2008年,2011年,2012年,,
/第九章,单选题,2010年5月至10月，以“城市，让生活更美好”为主题的世界博览会在（）举行，这是第一次在发展中国家举办的注册类世博会，书写了中国人民同世界各国人民交流互鉴的新篇章。,B,,易,,4,北京,上海,广州,深圳,,
/第九章,单选题,党的十七大首次把（）纳入中国特色社会主义政治制度的基本范畴，作为发展社会主义民主政治的基础性工程加以推进。,D,,易,,4,人民代表大会制度,民族区域自治制度,中国共产党领导的多党合作和政治协商制度,基层群众自治制度,,
/第九章,单选题,2008年，城乡（）实现全部免除学杂费，惠及1.6亿学生，确保所有适龄儿童都能“不花钱，有学上”。,D,,易,,4,高等教育,职业教育,中等教育,义务教育,,
/第九章,判断题,我国是第一个制定并实施应对气候变化国家方案的发展中国家。,A,,易,,2,正确,错误,,,,
/第九章,单选题,从2003年开始，内地与香港、澳门分别签署（）及其补充协议，进一步实现了互利共赢。,A,,难,,4,《关于建立更紧密经贸关系的安排（CEPA）》,《海峡两岸服务贸易协议》,《两岸经济合作框架协议》,《东盟服务贸易协议》,,
/第九章,单选题,2005年3月14日，十届全国人大三次会议高票通过（），这充分表明全中国人民反对“台独”、维护国家统和领土完整的共同意志和坚定决心。,C,,难,,4,《中华人民共和国国防法》,《中华人民共和国国家安全法》,《反分裂国家法》,《中华人民共和国反间谍法》,,
/第九章,单选题,2005年4月29日，中共中央总书记胡锦涛在北京会见中国国民党主席（），实现了60年来中国共产党和中国国民党主要领导人之间第一次历史性握手。,A,,易,,4,连战,宋楚瑜,韩国瑜,马英九,,
/第九章,单选题,2009年9月，党的十七届四中全会通过（），提出了提高党的建设科学化水平的重大命题和重大任务。,C,,难,,4,《中国共产党纪律处分条例》,《关于领导干部报告个人有关事项的规定》,《关于加强和改进新形势下党的建设若干重大问题的决定》,《关于对配偶子女均已移居国（境）外的国家工作人员加强管理的暂行规定》,,
/第九章,判断题,2006年起我国已经是《联合国反腐败公约》的缔约国。,A,,易,,2,正确,错误,,,,
/第九章,判断题,把科学发展观确立为党的指导思想并载入党章，是在党的十八大。,A,,易,,2,正确,错误,,,,
/第十章,单选题,2012年11月8日至14日，（）在北京举行。这是在我国进入全面建成小康社会决定性阶段召开的一次十分重要的大会。,C,,易,,4,党的十六大,党的十七大,党的十八大,党的十九大,,
/第十章,单选题,（）确立了科学发展观的历史地位。,B,,易,,4,党的十七大,党的十八大,党的十九大,党的二十大,,
/第十章,单选题,党的十八大阐明，中国特色社会主义的总依据是社会主义初级阶段，总布局是（）。,C,,易,,4,“三位一体”,“四位一体”,“五位一体”,“四个全面”,,
/第十章,单选题,2012年11月29日，习近平在参观（）展览时首次提出并阐释实现中华民族伟大复兴的中国梦。,A,,易,,4,《复兴之路》,国家“十二五”科技创新成就展,庆祝中华人民共和国成立70周年大型成就展,庆祝改革开放40周年大型展览,,
/第十章,判断题,现在，我们比历史上任何时期都更接近中华民族伟大复兴的目标。,A,,易,,2,正确,错误,,,,
/第十章,单选题,经过充分酝酿，2016年10月，（）明确了习近平总书记党中央的核心、全党的核心地位，正式提出“以习近平同志为核心的党中央”。,B,,难,,4,党的十八届三中全会,党的十八届六中全会,党的十九届三中全会,党的十九届四中全会,,
/第十章,单选题,2017年10月，（）把“坚定维护以习近平同志为核心的党中央权威和集中统一领导”写入党章。,B,,难,,4,党的十八届六中全会,党的十九大,党的十九届三中全会,党的十九届四中全会,,
/第十章,单选题,推进（），是适应和引领经济发展新常态的重大创新。 2015年11月，习近平在中央财经领导小组第十一次会议上首次提出这一理念。,B,,易,,4,要素市场化配置改革,供给侧结构性改革,产权制度改革,放管服改革,,
/第十章,单选题,2013年至2017年，我国国内生产总值年均增长超过7%；2017年，国内生产总值超过83万亿元，稳居（），占世界经济比重达到15%左右，成为世界经济增长的主要动力源和稳定器。,B,,易,,4,世界第一,世界第二,世界第三,世界第四,,
/第十章,单选题,2015年颁布的（）首次将“参加中国共产党领导的政治协商”作为民主党派基本职能之一。,D,,易,,4,《关于加强党的政治建设的意见》,《中华人民共和国公共文化服务保障法》,《中国共产党纪律处分条例》,《中国共产党统一战线工作条例》,,
/第十章,判断题,高举民族团结旗帜，有利于进一步铸牢中华民族共同体意识。,A,,易,,2,正确,错误,,,,
/第十章,单选题,基层群众自治制度的主要内容不包括以下的（）。,D,,易,,4,民主选举,民主协商,民主决策,直接参政,,
/第十章,判断题,由于舆论生态、媒体格局、传播方式发生深刻变化，意识形态工作面临的国内外环境更趋复杂。,A,,易,,2,正确,错误,,,,
/第十章,单选题,2017年3月，（）施行，实现了人民群众基本文化权益的法律保障。,B,,易,,4,《中华人民共和国环境保护法》,《中华人民共和国公共文化服务保障法》,《生态文明体制改革总体方案》,《中国共产党纪律处分条例》,,
/第十章,判断题,就业是最基本的民生。,A,,易,,2,正确,错误,,,,
/第十章,判断题,我国已经建成世界上规模最大的社会保障体系。,A,,易,,2,正确,错误,,,,
/第十章,判断题,全面建成小康社会，最艰巨最繁重的任务在农村，特别是在贫困地区。,A,,易,,2,正确,错误,,,,
/第十章,单选题,2015年10月，党的十八届五中全会审议通过“十三五”规划建议，把（）作为全面建成小康社会的基本标志。,D,,易,,4,国民人均收入达到1万美元,城市人均住宅面积达到50平方米,所属省市的经济增长率到达10%,农村贫困人口脱贫,,
/第十章,单选题,（）是“四个全面”战略布局中具有突破性和先导性的关键环节。,B,,难,,4,全面建成小康社会,全面深化改革,全面依法治国,全面从严治党,,
/第十章,单选题,2013年11月，（）审议通过的《中共中央关于全面深化改革若干重大问题的决定》，对全面深化改革作出顶层设计和总体规划。,A,,难,,4,党的十八届三中全会,党的十八届四中全会,党的十九届三中全会,党的十九届四中全会,,
/第十章,判断题,全面深化改革的总目标是完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化。,A,,易,,2,正确,错误,,,,
/第十章,单选题,（）在“四个全面”战略布局中具有基础性、保障性作用。,C,,易,,4,全面建成小康社会,全面深化改革,全面依法治国,全面从严治党,,
/第十章,判断题,全面推进依法治国的总目标是建设中国特色社会主义法治体系，建设社会主义法治国家。,A,,易,,2,正确,错误,,,,
/第十章,判断题,依法治国首先要坚持依宪治国。,A,,易,,2,正确,错误,,,,
/第十章,单选题,为了增强全社会的宪法意识、弘扬宪法精神，2014年11月，十二届全国人大常委会以立法形式将（）设立为国家宪法日。,D,,中,,4,4月15日,9月3日,10月23日,12月4日,,
/第十章,单选题,2017年5月印发的《关于实行国家机关“谁执法谁普法”普法责任制的意见》，首次将（）明确为法治宣传教育的责任主体。,A,,易,,4,国家机关,社区街道,居民委员会,物业公司,,
/第十章,单选题,（）是“四个全面”战略布局的根本保证，是党的十八大以来党中央抓党的建设的鲜明主题。,D,,易,,4,全面建成小康社会,全面深化改革,全面依法治国,全面从严治党,,
/第十章,判断题,中国特色社会主义最本质的特征是中国共产党领导。,A,,易,,2,正确,错误,,,,
/第十章,判断题,中国特色社会主义制度的最大优势是中国共产党领导。,A,,易,,2,正确,错误,,,,
/第十章,判断题,腐败是党长期执政的最大威胁。,A,,易,,2,正确,错误,,,,
/第十章,单选题,2014年10月30日至11月2日，新世纪第一次全军政治工作会议在（）召开。,D,,易,,4,湖南湘西,甘肃兰州,福建福州,福建古田,,
/第十章,判断题,新世纪第一次全军政治工作会议开启了思想建党、政治建军的新征程。,A,,易,,2,正确,错误,,,,
/第十章,判断题,科技是现代战争的核心战斗力。,A,,易,,2,正确,错误,,,,
/第十章,判断题,在“一国两制”问题中，“一国”是根，根深才能叶茂；也是本，本固才能枝荣。,A,,易,,2,正确,错误,,,,
/第十章,单选题,2015年11月7日，习近平同台湾地区领导人（）在新加坡会晤。这是1949年以来两岸领导人的首次会晤，开创了两岸领导人直接对话、沟通的先河。,B,,易,,4,连战,马英九,朱立伦,洪秀柱,,
/第十章,判断题,“台独”势力及其分裂活动是对两岸关系和平发展的最大现实威胁。,A,,易,,2,正确,错误,,,,
/第十章,判断题,广大发展中国家是我国在国际事务中的天然同盟军。,A,,易,,2,正确,错误,,,,
/第十章,判断题,党的十八大贯穿始终的一条主线，是坚持和发展中国特色社会主义。,A,,易,,2,正确,错误,,,,
/第十章,判断题,中国梦体现了中华民族和中国人民的整体利益。,A,,易,,2,正确,错误,,,,
/第十章,判断题,中国梦是和平、发展、合作、共赢的梦，实现中国梦将为世界带来极大的机遇。,A,,易,,2,正确,错误,,,,
/第十章,判断题,“五位一体”总体布局和“四个全面”战略布局是统筹联动、相互促进的。,A,,易,,2,正确,错误,,,,
/第十章,单选题,统筹推进“五位一体”总体布局，（）是根本。,B,,中,,4,民主政治建设,经济建设,思想文化建设,生态文明建设,,
/第十章,单选题,2015年3月，十二届全国人大三次会议对有“管法的法”之称的（）作出重要修改，赋予设区的市地方立法权。,C,,中,,4,诉讼法,组织法,立法法,选举法,,
/第十章,判断题,文化的影响力首先是价值观念的影响力。,A,,易,,2,正确,错误,,,,
/第十章,判断题,中华优秀传统文化是中国特色社会主义植根的文化沃土。,A,,易,,2,正确,错误,,,,
/第十章,判断题,社会主义核心价值观日益成为全民族奋发向上、团结和睦的精神纽带。,A,,易,,2,正确,错误,,,,
/第十章,判断题,进入新时代，人民对美好生活的向往更加强烈。,A,,易,,2,正确,错误,,,,
/第十章,判断题,社会保障是“安全网”和“稳定器”。,A,,易,,2,正确,错误,,,,
/第十章,单选题,在党中央统一部署下，各地积极创新社区治理体制机制，推动形成城乡社区治理体系。其特点不包括（）。,B,,易,,4,多方参与、共同治理,政协统一管理,基层党组织领导,基层政府主导,,
/第十章,判断题,我国社会治理的重心整体向基层下移，形成了城乡社区协商的新局面。,A,,易,,2,正确,错误,,,,
/第十章,判断题,我国已经成为全球生态文明建设的重要参与者、贡献者、引领者。,A,,易,,2,正确,错误,,,,
/第十章,单选题,（）是推动我国生态文明建设的纲领性文件。,C,,难,,4,《巴黎协定》,《关于打赢脱贫攻坚战的决定》,《关于加快推进生态文明建设的意见》,《生态文明体制改革总体方案》,,
/第十章,判断题,生态建设中的短板是影响全面建成小康社会实现的首要因素。,B,,易,,2,正确,错误,,,,
/第十章,判断题,农村特别是贫困地区，是影响全面建成小康社会最大的短板。,A,,易,,2,正确,错误,,,,
/第十章,判断题,科学立法是全面依法治国的重要保障，是维护社会公平正义的最后一道防线。,B,,易,,2,正确,错误,,,,
/第十章,判断题,国家安全是安邦定国的重要基石。,A,,易,,2,正确,错误,,,,
/第十章,单选题,十二届全国人大常委会第十五次会议通过（），以法律形式确立了总体国家安全观的指导地位。,B,,易,,4,《中华人民共和国治安管理处罚法》,《中华人民共和国国家安全法》,《反分裂国家法》,《中华人民共和国网络安全法》,,
/第十章,判断题,全面加强国家安全，就要把维护文化安全放在第一位。,B,,易,,2,正确,错误,,,,
/第十章,单选题,2017年10月18日至24日，（）在北京举行。这是在全面建成小康社会决胜阶段、中国特色社会主义进入新时代的关键时期召开的一次十分重要的大会。,D,,易,,4,党的十六大,党的十七大,党的十八大,党的十九大,,
/第十章,单选题,（）一致同意，在党章中把习近平新时代中国特色社会主义思想同马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观一道确立为党的行动指南。,D,,易,,4,党的十六大,党的十七大,党的十八大,党的十九大,,
/第十章,判断题,党的十九大报告指出，中国共产党一经成立，就把实现共产主义作为党的最高理想和最终目标，义无反顾肩负起实现中华民族伟大复兴的历史使命。,A,,易,,2,正确,错误,,,,
/第十章,单选题,党的建设总体布局抓住了新时代党的建设的关键，突出了（）的统领地位和纪律建设这个治本之策。,A,,易,,4,政治建设,组织建设,作风建设,思想建设,,
/第十章,单选题,（）进一步回答了“建设什么样的党、怎样建设党”这一历史性课题，标志着党对执政党建设规律的认识达到新的高度。,B,,易,,4,“绿水青山就是金山银山”,党的建设总体布局,“四个全面”,“五位一体”,,
/第十章,单选题,（）作出了中国特色社会主义进入新时代的重大政治判断。,C,,易,,4,党的十七大,党的十八大,党的十九大,党的二十大,,
/第十章,判断题,党和人民事业能不能沿着正确方向前进，取决于我们能否准确认识和把握社会主要矛盾、确定中心任务。,A,,易,,2,正确,错误,,,,
